time,ask,bid
2018-08-01 00:00:00,0.89124,0.89106
2018-08-01 00:10:00,0.89118,0.891
2018-08-01 00:20:00,0.89114,0.89097
2018-08-01 00:30:00,0.89112,0.89094
2018-08-01 00:40:00,0.89119,0.89098
2018-08-01 00:50:00,0.89117,0.89097
2018-08-01 01:00:00,0.89117,0.89098
2018-08-01 01:10:00,0.89122,0.89104
2018-08-01 01:20:00,0.89134,0.89116
2018-08-01 01:30:00,0.89128,0.89109
2018-08-01 01:40:00,0.89121,0.89103
2018-08-01 01:50:00,0.89126,0.89107
2018-08-01 02:00:00,0.8912,0.89101
2018-08-01 02:10:00,0.89115,0.89099
2018-08-01 02:20:00,0.89123,0.89104
2018-08-01 02:30:00,0.89121,0.89102
2018-08-01 02:40:00,0.89125,0.89106
2018-08-01 02:50:00,0.8913,0.89114
2018-08-01 03:00:00,0.89136,0.89118
2018-08-01 03:10:00,0.89139,0.89121
2018-08-01 03:20:00,0.89121,0.89104
2018-08-01 03:30:00,0.89126,0.89107
2018-08-01 03:40:00,0.89113,0.89096
2018-08-01 03:50:00,0.89107,0.89089
2018-08-01 04:00:00,0.89114,0.89097
2018-08-01 04:10:00,0.89123,0.89106
2018-08-01 04:20:00,0.89102,0.89086
2018-08-01 04:30:00,0.89108,0.89093
2018-08-01 04:40:00,0.89127,0.89109
2018-08-01 04:50:00,0.89124,0.89105
2018-08-01 05:00:00,0.89131,0.89114
2018-08-01 05:10:00,0.89143,0.89125
2018-08-01 05:20:00,0.89156,0.89139
2018-08-01 05:30:00,0.8915,0.89131
2018-08-01 05:40:00,0.89153,0.89136
2018-08-01 05:50:00,0.89165,0.89146
2018-08-01 06:00:00,0.89164,0.89147
2018-08-01 06:10:00,0.89139,0.89122
2018-08-01 06:20:00,0.8913,0.89114
2018-08-01 06:30:00,0.89095,0.8908
2018-08-01 06:40:00,0.89077,0.89062
2018-08-01 06:50:00,0.89088,0.89072
2018-08-01 07:00:00,0.89064,0.8905
2018-08-01 07:10:00,0.89079,0.89066
2018-08-01 07:20:00,0.89064,0.89049
2018-08-01 07:30:00,0.89107,0.89092
2018-08-01 07:40:00,0.89121,0.89108
2018-08-01 07:50:00,0.89147,0.89129
2018-08-01 08:00:00,0.89123,0.89109
2018-08-01 08:10:00,0.89093,0.89076
2018-08-01 08:20:00,0.89127,0.89082
2018-08-01 08:30:00,0.89086,0.89072
2018-08-01 08:40:00,0.89112,0.89096
2018-08-01 08:50:00,0.89094,0.8908
2018-08-01 09:00:00,0.89113,0.89099
2018-08-01 09:10:00,0.89112,0.89098
2018-08-01 09:20:00,0.89109,0.89094
2018-08-01 09:30:00,0.8907,0.89054
2018-08-01 09:40:00,0.89043,0.89028
2018-08-01 09:50:00,0.89042,0.89026
2018-08-01 10:00:00,0.89059,0.89046
2018-08-01 10:10:00,0.89077,0.89063
2018-08-01 10:20:00,0.89065,0.89051
2018-08-01 10:30:00,0.89057,0.89042
2018-08-01 10:40:00,0.89037,0.89024
2018-08-01 10:50:00,0.89023,0.89008
2018-08-01 11:00:00,0.88986,0.88972
2018-08-01 11:10:00,0.8896,0.88946
2018-08-01 11:20:00,0.88962,0.88947
2018-08-01 11:30:00,0.88998,0.88984
2018-08-01 11:40:00,0.89007,0.88993
2018-08-01 11:50:00,0.89009,0.88995
2018-08-01 12:00:00,0.89011,0.88997
2018-08-01 12:10:00,0.88998,0.88983
2018-08-01 12:20:00,0.89016,0.89002
2018-08-01 12:30:00,0.88997,0.88983
2018-08-01 12:40:00,0.88986,0.88973
2018-08-01 12:50:00,0.88976,0.88961
2018-08-01 13:00:00,0.88977,0.88964
2018-08-01 13:10:00,0.88987,0.88972
2018-08-01 13:20:00,0.89013,0.88998
2018-08-01 13:30:00,0.8903,0.89014
2018-08-01 13:40:00,0.89033,0.89018
2018-08-01 13:50:00,0.89038,0.89008
2018-08-01 14:00:00,0.8904,0.89025
2018-08-01 14:10:00,0.89021,0.89008
2018-08-01 14:20:00,0.89002,0.88986
2018-08-01 14:30:00,0.89029,0.89015
2018-08-01 14:40:00,0.8895,0.88935
2018-08-01 14:50:00,0.88963,0.88945
2018-08-01 15:00:00,0.88977,0.88962
2018-08-01 15:10:00,0.88945,0.8893
2018-08-01 15:20:00,0.88947,0.88932
2018-08-01 15:30:00,0.88931,0.88917
2018-08-01 15:40:00,0.88955,0.88939
2018-08-01 15:50:00,0.88928,0.88913
2018-08-01 16:00:00,0.88917,0.88901
2018-08-01 16:10:00,0.88932,0.88917
2018-08-01 16:20:00,0.8896,0.88943
2018-08-01 16:30:00,0.88942,0.88926
2018-08-01 16:40:00,0.88953,0.88939
2018-08-01 16:50:00,0.88955,0.88939
2018-08-01 17:00:00,0.88956,0.88939
2018-08-01 17:10:00,0.88963,0.88949
2018-08-01 17:20:00,0.88961,0.88947
2018-08-01 17:30:00,0.8895,0.88935
2018-08-01 17:40:00,0.88938,0.88922
2018-08-01 17:50:00,0.88975,0.88886
2018-08-01 18:00:00,0.88905,0.8889
2018-08-01 18:10:00,0.88892,0.88878
2018-08-01 18:20:00,0.88901,0.88885
2018-08-01 18:30:00,0.88893,0.88878
2018-08-01 18:40:00,0.88868,0.88854
2018-08-01 18:50:00,0.88842,0.88825
2018-08-01 19:00:00,0.88852,0.88836
2018-08-01 19:10:00,0.88847,0.88831
2018-08-01 19:20:00,0.8887,0.88855
2018-08-01 19:30:00,0.88872,0.88856
2018-08-01 19:40:00,0.88855,0.88839
2018-08-01 19:50:00,0.88862,0.88846
2018-08-01 20:00:00,0.88854,0.88837
2018-08-01 20:10:00,0.8885,0.88835
2018-08-01 20:20:00,0.88853,0.88836
2018-08-01 20:30:00,0.8885,0.88836
2018-08-01 20:40:00,0.8886,0.88841
2018-08-01 20:50:00,0.88861,0.88822
2018-08-01 21:00:00,0.88872,0.88825
2018-08-01 21:10:00,0.88861,0.88827
2018-08-01 21:20:00,0.88861,0.88832
2018-08-01 21:30:00,0.88868,0.88836
2018-08-01 21:40:00,0.88873,0.88835
2018-08-01 21:50:00,0.88861,0.88834
2018-08-01 22:00:00,0.88857,0.88834
2018-08-01 22:10:00,0.88857,0.88835
2018-08-01 22:20:00,0.88853,0.88829
2018-08-01 22:30:00,0.8886,0.88839
2018-08-01 22:40:00,0.88857,0.88837
2018-08-01 22:50:00,0.88862,0.88841
2018-08-01 23:00:00,0.88858,0.8884
2018-08-01 23:10:00,0.8886,0.88841
2018-08-01 23:20:00,0.88865,0.88844
2018-08-01 23:30:00,0.88873,0.88853
2018-08-01 23:40:00,0.88867,0.88848
2018-08-01 23:50:00,0.88873,0.88853
2018-08-02 00:00:00,0.88879,0.88861
2018-08-02 00:10:00,0.88884,0.88864
2018-08-02 00:20:00,0.88884,0.88864
2018-08-02 00:30:00,0.88885,0.88867
2018-08-02 00:40:00,0.88882,0.88864
2018-08-02 00:50:00,0.88875,0.88855
2018-08-02 01:00:00,0.88887,0.88868
2018-08-02 01:10:00,0.88893,0.88874
2018-08-02 01:20:00,0.88899,0.88881
2018-08-02 01:30:00,0.88896,0.88878
2018-08-02 01:40:00,0.88904,0.88886
2018-08-02 01:50:00,0.88903,0.88885
2018-08-02 02:00:00,0.88918,0.88901
2018-08-02 02:10:00,0.8892,0.88901
2018-08-02 02:20:00,0.88916,0.88898
2018-08-02 02:30:00,0.88919,0.88902
2018-08-02 02:40:00,0.88919,0.889
2018-08-02 02:50:00,0.88922,0.88905
2018-08-02 03:00:00,0.88916,0.889
2018-08-02 03:10:00,0.88909,0.88894
2018-08-02 03:20:00,0.88911,0.88894
2018-08-02 03:30:00,0.88912,0.88893
2018-08-02 03:40:00,0.88905,0.88887
2018-08-02 03:50:00,0.88919,0.88901
2018-08-02 04:00:00,0.88934,0.88916
2018-08-02 04:10:00,0.88921,0.88904
2018-08-02 04:20:00,0.88911,0.88892
2018-08-02 04:30:00,0.88906,0.88887
2018-08-02 04:40:00,0.88899,0.88881
2018-08-02 04:50:00,0.88909,0.88889
2018-08-02 05:00:00,0.88927,0.88909
2018-08-02 05:10:00,0.88922,0.88904
2018-08-02 05:20:00,0.88928,0.8891
2018-08-02 05:30:00,0.88916,0.88899
2018-08-02 05:40:00,0.88923,0.88904
2018-08-02 05:50:00,0.8893,0.88913
2018-08-02 06:00:00,0.88911,0.88895
2018-08-02 06:10:00,0.88905,0.88889
2018-08-02 06:20:00,0.88917,0.88901
2018-08-02 06:30:00,0.88891,0.88877
2018-08-02 06:40:00,0.88892,0.88877
2018-08-02 06:50:00,0.88901,0.88886
2018-08-02 07:00:00,0.88968,0.88953
2018-08-02 07:10:00,0.88938,0.88923
2018-08-02 07:20:00,0.8894,0.88924
2018-08-02 07:30:00,0.8894,0.88923
2018-08-02 07:40:00,0.88935,0.88919
2018-08-02 07:50:00,0.88908,0.88894
2018-08-02 08:00:00,0.88876,0.88861
2018-08-02 08:10:00,0.88868,0.88851
2018-08-02 08:20:00,0.88886,0.88796
2018-08-02 08:30:00,0.88859,0.88845
2018-08-02 08:40:00,0.88817,0.88803
2018-08-02 08:50:00,0.88831,0.88813
2018-08-02 09:00:00,0.88857,0.88843
2018-08-02 09:10:00,0.88825,0.88812
2018-08-02 09:20:00,0.88844,0.8883
2018-08-02 09:30:00,0.8881,0.88796
2018-08-02 09:40:00,0.88844,0.88828
2018-08-02 09:50:00,0.88798,0.88783
2018-08-02 10:00:00,0.88814,0.888
2018-08-02 10:10:00,0.88796,0.88781
2018-08-02 10:20:00,0.888,0.88786
2018-08-02 10:30:00,0.88862,0.88847
2018-08-02 10:40:00,0.88853,0.88838
2018-08-02 10:50:00,0.88883,0.88774
2018-08-02 11:00:00,0.88575,0.88561
2018-08-02 11:10:00,0.88718,0.88702
2018-08-02 11:20:00,0.88714,0.88698
2018-08-02 11:30:00,0.88683,0.88667
2018-08-02 11:40:00,0.89013,0.88996
2018-08-02 11:50:00,0.89059,0.89044
2018-08-02 12:00:00,0.89134,0.89118
2018-08-02 12:10:00,0.89177,0.89163
2018-08-02 12:20:00,0.89191,0.89171
2018-08-02 12:30:00,0.8914,0.89126
2018-08-02 12:40:00,0.89095,0.89081
2018-08-02 12:50:00,0.89098,0.89083
2018-08-02 13:00:00,0.89073,0.89058
2018-08-02 13:10:00,0.89069,0.89055
2018-08-02 13:20:00,0.89038,0.89022
2018-08-02 13:30:00,0.89044,0.89028
2018-08-02 13:40:00,0.89045,0.89032
2018-08-02 13:50:00,0.89052,0.89033
2018-08-02 14:00:00,0.89029,0.89014
2018-08-02 14:10:00,0.89058,0.89044
2018-08-02 14:20:00,0.89087,0.8907
2018-08-02 14:30:00,0.8911,0.89096
2018-08-02 14:40:00,0.89059,0.89045
2018-08-02 14:50:00,0.89105,0.8909
2018-08-02 15:00:00,0.89133,0.89119
2018-08-02 15:10:00,0.89132,0.89118
2018-08-02 15:20:00,0.89132,0.8912
2018-08-02 15:30:00,0.89112,0.89098
2018-08-02 15:40:00,0.89079,0.89065
2018-08-02 15:50:00,0.89091,0.89077
2018-08-02 16:00:00,0.89093,0.89078
2018-08-02 16:10:00,0.89077,0.89061
2018-08-02 16:20:00,0.89085,0.89069
2018-08-02 16:30:00,0.89082,0.89067
2018-08-02 16:40:00,0.89072,0.89058
2018-08-02 16:50:00,0.89074,0.89061
2018-08-02 17:00:00,0.89086,0.8907
2018-08-02 17:10:00,0.89092,0.89077
2018-08-02 17:20:00,0.89085,0.8907
2018-08-02 17:30:00,0.89061,0.89046
2018-08-02 17:40:00,0.89053,0.89036
2018-08-02 17:50:00,0.89035,0.8902
2018-08-02 18:00:00,0.8903,0.89013
2018-08-02 18:10:00,0.89073,0.89055
2018-08-02 18:20:00,0.89073,0.89057
2018-08-02 18:30:00,0.89021,0.89005
2018-08-02 18:40:00,0.89001,0.88984
2018-08-02 18:50:00,0.88976,0.88959
2018-08-02 19:00:00,0.89019,0.89002
2018-08-02 19:10:00,0.8902,0.89004
2018-08-02 19:20:00,0.89035,0.89019
2018-08-02 19:30:00,0.89056,0.8904
2018-08-02 19:40:00,0.89049,0.89032
2018-08-02 19:50:00,0.89038,0.89021
2018-08-02 20:00:00,0.89032,0.89013
2018-08-02 20:10:00,0.8902,0.89002
2018-08-02 20:20:00,0.8901,0.88995
2018-08-02 20:30:00,0.89005,0.88987
2018-08-02 20:40:00,0.88999,0.88981
2018-08-02 20:50:00,0.89035,0.88983
2018-08-02 21:00:00,0.8904,0.88977
2018-08-02 21:10:00,0.89009,0.88973
2018-08-02 21:20:00,0.89021,0.88977
2018-08-02 21:30:00,0.89034,0.88981
2018-08-02 21:40:00,0.89026,0.88989
2018-08-02 21:50:00,0.89023,0.88986
2018-08-02 22:00:00,0.89014,0.88986
2018-08-02 22:10:00,0.89017,0.88994
2018-08-02 22:20:00,0.89006,0.8898
2018-08-02 22:30:00,0.88998,0.88976
2018-08-02 22:40:00,0.89012,0.8899
2018-08-02 22:50:00,0.89011,0.88988
2018-08-02 23:00:00,0.89036,0.89015
2018-08-02 23:10:00,0.89035,0.89016
2018-08-02 23:20:00,0.89029,0.89008
2018-08-02 23:30:00,0.89029,0.8901
2018-08-02 23:40:00,0.89021,0.89001
2018-08-02 23:50:00,0.89015,0.88997
2018-08-03 00:00:00,0.89019,0.89002
2018-08-03 00:10:00,0.89034,0.89014
2018-08-03 00:20:00,0.89031,0.89012
2018-08-03 00:30:00,0.8902,0.89001
2018-08-03 00:40:00,0.89029,0.89011
2018-08-03 00:50:00,0.8902,0.89
2018-08-03 01:00:00,0.89015,0.88995
2018-08-03 01:10:00,0.89031,0.89012
2018-08-03 01:20:00,0.89035,0.89017
2018-08-03 01:30:00,0.89032,0.89015
2018-08-03 01:40:00,0.89056,0.89037
2018-08-03 01:50:00,0.89038,0.89019
2018-08-03 02:00:00,0.89057,0.89038
2018-08-03 02:10:00,0.89058,0.8904
2018-08-03 02:20:00,0.89045,0.89026
2018-08-03 02:30:00,0.89046,0.89028
2018-08-03 02:40:00,0.89048,0.8903
2018-08-03 02:50:00,0.89052,0.89035
2018-08-03 03:00:00,0.89037,0.89019
2018-08-03 03:10:00,0.89044,0.89023
2018-08-03 03:20:00,0.89021,0.89003
2018-08-03 03:30:00,0.89033,0.89014
2018-08-03 03:40:00,0.89038,0.8902
2018-08-03 03:50:00,0.89031,0.89012
2018-08-03 04:00:00,0.89038,0.8902
2018-08-03 04:10:00,0.89036,0.89018
2018-08-03 04:20:00,0.89028,0.89008
2018-08-03 04:30:00,0.89045,0.89027
2018-08-03 04:40:00,0.89051,0.89031
2018-08-03 04:50:00,0.89041,0.89023
2018-08-03 05:00:00,0.89042,0.89025
2018-08-03 05:10:00,0.89042,0.89025
2018-08-03 05:20:00,0.8903,0.89013
2018-08-03 05:30:00,0.8903,0.89013
2018-08-03 05:40:00,0.89013,0.88997
2018-08-03 05:50:00,0.89,0.88984
2018-08-03 06:00:00,0.89024,0.8901
2018-08-03 06:10:00,0.88996,0.8898
2018-08-03 06:20:00,0.89003,0.88986
2018-08-03 06:30:00,0.89003,0.88987
2018-08-03 06:40:00,0.89026,0.8901
2018-08-03 06:50:00,0.89036,0.8902
2018-08-03 07:00:00,0.89057,0.89041
2018-08-03 07:10:00,0.89096,0.89081
2018-08-03 07:20:00,0.89161,0.89144
2018-08-03 07:30:00,0.8915,0.89134
2018-08-03 07:40:00,0.89162,0.89147
2018-08-03 07:50:00,0.89102,0.89083
2018-08-03 08:00:00,0.89102,0.89087
2018-08-03 08:10:00,0.89111,0.89096
2018-08-03 08:20:00,0.89135,0.89092
2018-08-03 08:30:00,0.89125,0.89111
2018-08-03 08:40:00,0.89105,0.8909
2018-08-03 08:50:00,0.89117,0.89099
2018-08-03 09:00:00,0.89114,0.89097
2018-08-03 09:10:00,0.89134,0.8912
2018-08-03 09:20:00,0.89056,0.89041
2018-08-03 09:30:00,0.89042,0.89028
2018-08-03 09:40:00,0.89027,0.89013
2018-08-03 09:50:00,0.88998,0.88982
2018-08-03 10:00:00,0.89028,0.89012
2018-08-03 10:10:00,0.89057,0.89042
2018-08-03 10:20:00,0.89053,0.89038
2018-08-03 10:30:00,0.89067,0.89052
2018-08-03 10:40:00,0.89081,0.89064
2018-08-03 10:50:00,0.89064,0.8905
2018-08-03 11:00:00,0.89003,0.88989
